Identifier,District,PlannedDuration,Budget,EstimatedCost,ActualCost,ActualDuration,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
M520,2,122,104750,164761,164761,136,0.368984070962642,0.008316423125093885,-0.0045120190424584265,-0.014088717474601128,-0.009118029905801597,0.0008596047739533967,0.01035381197576647,-0.007949076061938573,0.006540178530610641,-0.008971853145058786
M521,2,196,419648,459812,287067,176,0.31992259870996675,0.011729605109548914,-0.001240830584477614,-0.0063795166994163365,-0.005895805412772889,-0.0028794668230856554,0.005084996927214864,-0.002092796037557294,0.0010562726748913928,-0.0034487777528894163
K415,18,120,122212,285454,281195,50,0.4425346831132554,0.007422907094267875,-0.002683462318057724,-0.010893586225117173,-0.009700440444462815,0.0009627321863170927,0.009809636554759058,-0.0037991502216323434,0.004989768124873195,-0.008265345549491765
R014,31,183,55530,107944,72115,162,-0.6234266847241489,-0.00796378074926375,-0.02189490754683851,0.0054588148090546915,0.014558441438924201,0.004739428407373068,-0.011723699237525318,-0.001312599718547533,0.02093737864981731,-0.01691166138282677
R003,31,183,124900,95200,78137,162,-0.6234266847241489,-0.00796378074926375,-0.02189490754683851,0.0054588148090546915,0.014558441438924201,0.004739428407373068,-0.011723699237525318,-0.001312599718547533,0.02093737864981731,-0.01691166138282677
M048,6,188,75804,106822,105493,196,-0.6234266847241489,-0.00796378074926375,-0.02189490754683851,0.0054588148090546915,0.014558441438924201,0.004739428407373068,-0.011723699237525318,-0.001312599718547533,0.02093737864981731,-0.01691166138282677
R126,31,185,2039747,2039747,53514,169,-0.46456661736331034,-0.0069323728865558765,-0.014900442886130343,0.0033396687341910297,0.006255675951127112,0.0006268623776821907,-0.0007943277010755505,-0.0027133687737894616,0.0018045315731048863,-0.007302326957778314
Q739,30,183,170568,190842,190842,161,0.04478273431404147,0.011605599842988628,-0.006886475008335367,0.011075598875585783,0.006575629135899218,-0.008800388179831732,-0.0018421530181338245,0.0023555228047869516,0.00142417169759549,-0.004291190852726004
M175,5,147,116471,119742,96550,181,0.2580525097717187,0.011213314439039383,-0.006052927181540596,-0.0065995783004830525,-0.004141793931137103,-0.005648370554057409,0.006087501908042369,-0.0049016606622442884,0.004078478493359907,-0.0096070084122421
X055,9,133,112861,158408,121247,143,0.2580525097717187,0.011213314439039383,-0.006052927181540596,-0.0065995783004830525,-0.004141793931137103,-0.005648370554057409,0.006087501908042369,-0.0049016606622442884,0.004078478493359907,-0.0096070084122421
M620,2,159,36630,40469,36724,174,0.11042863072725607,0.009166748274014135,-0.01041115490270572,-0.0045182293204234555,-0.00391781167578027,-0.012633272495901111,0.0014095968266150613,0.0024833157916919375,0.0040870194495375815,-0.005687202804519104
K831,13,223,2039370,2039370,956411,229,-0.7169582067558466,-0.01328125003564875,-0.02781466452233609,0.0038390957955379934,0.0052088205957507745,-0.003244013950495801,0.0018037004145618233,-0.0029620854019794985,0.00414408146787949,0.0002206146159302274
R004,31,150,196500,186059,156170,287,-0.13716635162654006,0.003821055688269485,-0.01144389822343902,-0.003342886559380711,0.003067086025540944,0.0009685136332080283,0.0014814972456704022,-0.0002791150992482782,0.0035431263337281386,0.0026594026053120023
K314,20,155,501798,650002,386780,176,0.2574551772659922,0.011132335731231124,-0.003956372014434567,-0.011225444152866805,-0.0012724239642400905,0.00264779854695459,0.0011104718613504131,0.003538497047346866,0.0037384678718690558,0.0017514450231278004
K246,17,184,746100,791843,420790,115,0.34112533915558374,0.015529326977834605,0.00037496496297629797,-0.012907882146691328,-0.0013599820151942571,0.0059487794656438,-0.0029068881384293403,0.003822478226581499,0.001177951085785609,0.00360785976277602
K391,17,188,335750,379073,271894,191,0.27332653718701855,0.014543663996902987,-0.0001681974171195838,-0.010987974105417624,0.002804480417593229,0.007790433500292552,-0.0054161922297444294,0.005213288145686147,0.0010415837070391401,0.00457336504888147
M143,6,203,1838016,1838016,420399,211,0.6029486794423903,0.016399416054423695,0.011699261868445717,-0.01205143481633833,-0.006001147367965759,0.0012613996650702203,0.004151712176320699,-0.005869585685072688,-0.002392650663278979,-0.0024796257732975645
R829,31,155,70200,62718,14807,113,-0.3841576889852071,-0.0051421688688711885,-0.019728910338253875,0.0008065504482719664,0.00656886664066986,0.0018036211524736793,-0.0038395779163104527,-0.0017025034406785962,0.007067883240523144,-0.0110183863594696
Q505,28,137,146797,92495,92495,269,-0.4132512410638149,-0.0005895863169143691,-0.01617921925758145,0.002532100717382675,0.005166195712289018,0.005467339206497849,0.002557814408549373,-0.005422247405601765,0.0013523263235189263,-0.0037511124934737844
Q069,30,184,164450,388070,367060,156,-0.06351336495837921,0.0004600489624423603,-0.004097960679533723,0.0007348715945235888,0.004557252688097783,0.0015702360957936896,-1.311499836517738e-06,0.00014754364660879107,0.005059388892689252,-0.004270789399205704
X425,11,160,321000,323149,318758,168,0.05583688380814715,0.014030815710322015,-0.012467606654463758,-0.01141484759277461,0.006698701087438213,0.01633882761426748,-0.014726144072976658,0.010062895457518714,0.029513076434738793,0.015772006735343264
Q008,28,213,1952546,1952546,385197,210,0.5924977467555834,0.016656174771962653,0.010709447747233328,-0.011937979950215862,-0.006383456117420548,0.0025373245067040963,0.0030673093163715035,-0.004191538792048191,-0.002303289428187354,-0.0016156570541636822
K860,18,154,52434,68933,68933,135,0.05583688380814715,0.014030815710322015,-0.012467606654463758,-0.01141484759277461,0.006698701087438213,0.01633882761426748,-0.014726144072976658,0.010062895457518714,0.029513076434738793,0.015772006735343264
K425,22,164,572250,389765,71443,247,0.05583688380814715,0.014030815710322015,-0.012467606654463758,-0.01141484759277461,0.006698701087438213,0.01633882761426748,-0.014726144072976658,0.010062895457518714,0.029513076434738793,0.015772006735343264
X039,8,153,286311,221462,210355,158,0.05583688380814715,0.014030815710322015,-0.012467606654463758,-0.01141484759277461,0.006698701087438213,0.01633882761426748,-0.014726144072976658,0.010062895457518714,0.029513076434738793,0.015772006735343264
K167,17,156,253000,465501,326642,322,0.05583688380814715,0.014030815710322015,-0.012467606654463758,-0.01141484759277461,0.006698701087438213,0.01633882761426748,-0.014726144072976658,0.010062895457518714,0.029513076434738793,0.015772006735343264
Q171,30,217,832113,832113,213187,211,0.6272042723723246,0.017565950645298107,0.011379873279611458,-0.01317747165414224,-0.004847003419966217,0.003130446103966324,0.0018827786914182869,-0.004431269010286186,-0.002217561550310934,-5.3378557357471715e-05
K188,21,149,241000,242812,238277,210,0.05583688380814715,0.014030815710322015,-0.012467606654463758,-0.01141484759277461,0.006698701087438213,0.01633882761426748,-0.014726144072976658,0.010062895457518714,0.029513076434738793,0.015772006735343264
X027,7,175,384750,377396,338042,260,0.05583688380814715,0.014030815710322015,-0.012467606654463758,-0.01141484759277461,0.006698701087438213,0.01633882761426748,-0.014726144072976658,0.010062895457518714,0.029513076434738793,0.015772006735343264
K845,15,154,112931,101835,94234,128,0.05583688380814715,0.014030815710322015,-0.012467606654463758,-0.01141484759277461,0.006698701087438213,0.01633882761426748,-0.014726144072976658,0.010062895457518714,0.029513076434738793,0.015772006735343264
K183,23,151,209750,204412,151407,172,0.05583688380814715,0.014030815710322015,-0.012467606654463758,-0.01141484759277461,0.006698701087438213,0.01633882761426748,-0.014726144072976658,0.010062895457518714,0.029513076434738793,0.015772006735343264
Q107,25,221,1706373,1706373,442367,219,0.550218064485456,0.013613759464786988,0.010379379569936054,-0.010616313284531411,-0.004979475586873222,0.0016796368722004772,0.0024883767647534603,-0.00360834244039067,-0.0012545026464020313,-0.0018078176827388101
X065,7,154,221000,233602,160429,168,0.05583688380814715,0.014030815710322015,-0.012467606654463758,-0.01141484759277461,0.006698701087438213,0.01633882761426748,-0.014726144072976658,0.010062895457518714,0.029513076434738793,0.015772006735343264
X075,8,154,172750,120855,120855,138,0.05583688380814715,0.014030815710322015,-0.012467606654463758,-0.01141484759277461,0.006698701087438213,0.01633882761426748,-0.014726144072976658,0.010062895457518714,0.029513076434738793,0.015772006735343264
M480,2,154,159563,220247,190979,289,0.2308728689281779,0.01411574609566036,-0.006555479720448501,-0.013887203583926628,-0.002857948149952634,0.010651646082077658,-0.007563066924473776,0.006473103064390413,0.018571264808356965,0.009712578309504007
K196,14,158,169952,162528,143449,193,0.21110214811493364,0.020468493789266226,-0.008170771135339643,0.0054506601738485904,0.005957795806352731,0.009511255874346158,-0.011730556262990226,0.005506635652226201,0.015630618161876917,0.010244775649623143
Q578,27,121,204817,204817,14883,105,-0.6681577860725346,-0.01918664334629024,-0.05244073344527799,-0.012288455629727595,0.006804609621827655,-0.0020297708672218275,0.011033900007786705,0.0021558222506503884,-0.015486937808177868,0.011045427864816628
K216,21,157,274700,398690,248222,157,0.2962087010067139,0.020038136466771144,-0.0030630741273651807,-0.004935658789276519,0.004427128040946219,0.0118220564537819,-0.0114730915815023,0.005517958562558348,0.01051974337495416,0.010050230772474335
M132,6,175,595229,426281,340691,274,0.49075445471631435,0.019027074600333968,0.0037637808119932274,-0.017179967937498104,0.000486721722651653,0.010915644942901311,-0.007634715016496469,0.00256644072380081,0.0067619535078272276,0.008921237672802703
K164,20,151,338750,356078,340670,272,0.28462549910075263,0.01431763979081051,-0.002685197883626471,-0.014353518088357742,0.0037758352923357354,0.013191836513037687,-0.008492655594499958,0.008388841401405013,0.015138933941243044,0.01222373126858367
K100,21,149,199900,201523,149774,195,0.2870068450568853,0.01767707776891052,-0.0019415141324926992,-0.015750656209300457,0.003908769228916614,0.015253311330333558,-0.01234289969935524,0.007042382751406716,0.012591792836607728,0.011795357093608981
R123,31,187,5954475,5954475,801342,195,-0.6681577860725346,-0.01918664334629024,-0.05244073344527799,-0.012288455629727595,0.006804609621827655,-0.0020297708672218275,0.011033900007786705,0.0021558222506503884,-0.015486937808177868,0.011045427864816628
